waste_type,ash_content,VM,FC,carbon_content,H,O,N,S,Cel,Hem,Lig,HHV,Source
Alfalfa Stem,5.27,78.92,15.81,47.17,6,38.19,2.68,0.2,35.8,18.48,23.36,18.67,"(Miles et al., 1995)"
alfalfa (lucern),9.4,73.9,16.7,45,6,36.9,2.5,2,36.48,24.26,15.34,18.6,"(TNO, 2020)"
alfalfa seed straw,7.25,72.6,20.15,46.76,5.4,40.72,1,0.02,41.65,19.39,29.16,18.45,"(TNO, 2020)"
cotton gin trash,17.6,67.3,15.1,39.59,5.26,36.38,2.09,0.67,20,9.1,17.6,16.42,"(TNO, 2020)"
cotton gin waste,9.36,82.16,8.48,49.03,4.71,35.08,1.45,0.36,77.8,16,0,16.27,"(TNO, 2020)"
cotton stalks,4.57,68.87,26.56,51.15,4.96,37.12,37.12,0.95,91.2,0.8,0.4,17.28,"(TNO, 2020)"
Flax stalks,2.93,78.8,18.27,49.1,6.1,40.45,1.3,0.12,35.38,29.06,17.48,20.04,"(TNO, 2020)"
Fibre hemp,1.5,80.74,17.76,47.3,6,44.4,0.7,0.04,36.88,25.23,29.1,18.79,"(TNO, 2020)"
"hemp, fan-dried after crushing",5.51,75.2,19.29,45.68,5.95,43.08,0.73,0.1,45.33,23.41,24.01,18.33,"(TNO, 2020)"
"hemp, silage",8.28,74.5,17.22,46.17,5.9,40.14,1.14,0.16,35.22,17.41,26.67,19.5,"(TNO, 2020)"
"hemp, silage, dried",7.06,75.2,17.74,46.58,5.9,39.63,1.14,0.13,36.16,18.87,27.67,19.95,"(TNO, 2020)"
Seed Hemp,2.2,79.39,18.41,48,6.1,43.1,0.5,0.6,30.42,25.69,23,19.34,"(TNO, 2020)"
jute stick,0.9,92.55,6.55,49.04,6.69,40.19,2.92,0.25,34.37,24.94,18.78,19.34,"(TNO, 2020)"
Kenaf,3.63,79.4,16.97,46,5.8,42.83,1.1,0.14,43.32,14.55,9.88,18.58,"(TNO, 2020)"
Banagrass,3.05,81.6,15.35,48.69,5.61,41.82,0.48,0.06,33.45,26.09,19.48,18.3,"(Turn et al., 1997)"
Banagrass,5,76.53,18.36,43.6,5.7,45,0.6,0.1,50,26,8,16.87,"(Turn et al., 1997)"
Sugarcane waste,11,44.2,5.4,38.7,0.6,0.06,2.11,1.72,37,23.43,22.61,17.84,"(TNO, 2020)"
walnut shell,0.56,78.28,21.16,49.98,5.71,43.35,0.21,0.01,38.16,27.16,18.44,20.18,"(TNO, 2020)"
walnut shell,2.02,78.28,21.16,49.95,5.87,42.52,0.62,0.13,21,18.8,32.7,19.59,"(TNO, 2020)"
Sunflower husk pellets,2.8,80.3,16.9,50.9,5.6,40,0.63,0.09,24,18.8,30.8,20,"(TNO, 2020)"
